Estacion,Latitud,Longitud,clipped_Hansen_GFC-2022-v1.10_lossyear_10N_080W,clipped_Hansen_GFC-2022-v1.10_treecover2000_10N_080W,resampled_clipped_wc2.1_30s_bio_1,resampled_clipped_wc2.1_30s_bio_10,resampled_clipped_wc2.1_30s_bio_11,resampled_clipped_wc2.1_30s_bio_12,resampled_clipped_wc2.1_30s_bio_13,resampled_clipped_wc2.1_30s_bio_14,resampled_clipped_wc2.1_30s_bio_15,resampled_clipped_wc2.1_30s_bio_16,resampled_clipped_wc2.1_30s_bio_17,resampled_clipped_wc2.1_30s_bio_18,resampled_clipped_wc2.1_30s_bio_19,resampled_clipped_wc2.1_30s_bio_2,resampled_clipped_wc2.1_30s_bio_3,resampled_clipped_wc2.1_30s_bio_4,resampled_clipped_wc2.1_30s_bio_5,resampled_clipped_wc2.1_30s_bio_6,resampled_clipped_wc2.1_30s_bio_7,resampled_clipped_wc2.1_30s_bio_8,resampled_clipped_wc2.1_30s_bio_9,resampled_clipped_wc2.1_30s_elev
TA01,5.223194444444444,-76.08016666666666,0,45,19.033333,19.383333,18.8,2965.0,416.0,152.0,34.28378,970.0,532.0,875.0,970.0,7.816667,90.89148,23.580935,23.3,14.7,8.599999,18.8,18.983334,1493
TA2,5.223055555555556,-76.078,0,95,19.033333,19.383333,18.8,2965.0,416.0,152.0,34.28378,970.0,532.0,875.0,970.0,7.816667,90.89148,23.580935,23.3,14.7,8.599999,18.8,18.983334,1493
TA3,5.219972222222222,-76.07927777777778,0,92,19.033333,19.383333,18.8,2965.0,416.0,152.0,34.28378,970.0,532.0,875.0,970.0,7.816667,90.89148,23.580935,23.3,14.7,8.599999,18.8,18.983334,1493
TA4,5.2322500000000005,-76.09191666666666,0,95,18.7875,19.116667,18.55,2605.0,379.0,94.0,35.614826,862.0,458.0,765.0,862.0,7.741667,92.162704,22.373373,22.9,14.5,8.4,18.55,18.9,1544
TA5,5.240222222222222,-76.09208333333333,0,90,18.754168,19.083334,18.5,3087.0,414.0,163.0,26.5564,921.0,637.0,853.0,885.0,7.725,91.96429,23.204458,22.9,14.5,8.4,18.5,18.666666,1568
TA6,5.244694444444445,-76.09375,0,90,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA7,5.24625,-76.0961111111111,0,90,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA8,5.238166666666666,-76.08394444444444,0,92,19.8875,20.25,19.6,2871.0,363.0,128.0,31.151634,892.0,474.0,868.0,892.0,8.425,91.57609,25.77216,24.5,15.3,9.2,19.6,20.05,1377
TA9,5.247638888888889,-76.09861111111111,0,90,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA10,5.249138888888889,-76.14944444444444,0,95,16.729166,16.966667,16.449999,2485.0,373.0,123.0,37.646206,848.0,397.0,685.0,814.0,7.2416663,89.4033,21.474976,20.8,12.7,8.099999,16.466667,16.816666,1938
