Species1,Species_new
Phaethornis guy,Phaethornis guy
Myrmotherulia schisticolor ,Myrmotherulia schisticolor
Automolus ochrolaemus,Automolus ochrolaemus
Haplospiza rustica,Haplospiza rustica
Anabacerthia variegaticeps,Anabacerthia variegaticeps
Sayornis nigricans,Sayornis nigricans
Tangara xanthocephala,Tangara xanthocephala
Aglaiocercus kingii,Aglaiocercus kingii
Myiothlypis chrysogaster,Myiothlypis chrysogaster
Heliodoxa imperatrix,Heliodoxa imperatrix
Cinnycerthia olivascens,Cinnycerthia olivascens
Philydor rufum,Philydor rufum
Henicorhina negreti,Henicorhina negreti
Dromococcyx pavoninus,Dromococcyx pavoninus
Chlorochrysa phoenicotis,Chlorochrysa phoenicotis
Anthracothorax nigricollis,Anthracothorax nigricollis
Pipreola jucunda,Pipreola jucunda
Thripadectes ignobilis,Thripadectes ignobilis
Turdus leucops,Turdus leucops
Momotus aequatorialis,Momotus aequatorialis
Eutoxeres aquila,Eutoxeres aquila
Machaeropterus striolatus,Machaeropterus striolatus
Empidonax sp.,Empidonax sp.
Synallaxis azarae,Synallaxis azarae
Saltator maximus,Saltator maximus
Mionectes olivaceus,Mionectes olivaceus
Kleinothraupis atropileus,Kleinothraupis atropileus
Synallaxis unirufa,Synallaxis unirufa
Henicorhina leucophrys,Henicorhina leucophrys
Sporophila luctuosa ,Sporophila luctuosa
Xenops MInutus,Xenops MInutus
Thripadectes holostictus,Thripadectes holostictus
Myadestes ralloides,Myadestes ralloides
Semnornis ramphastinus,Semnornis ramphastinus
Myiothlypis fulvicauda,Myiothlypis fulvicauda
Scytalopus sp.,Scytalopus sp.
Myiodynastes chrysocephalus,Myiodynastes chrysocephalus
Pseudocolaptes boissonneautii,Pseudocolaptes boissonneautii
Coeligena coeligena,Coeligena coeligena
Coeligena torquata,Coeligena torquata
Schistes albogularis,Schistes albogularis
Hemitriccus granadensis,Hemitriccus granadensis
Troglodytes solstitialis,Troglodytes solstitialis
Stilpnia cyanicollis,Stilpnia cyanicollis
Cinnycerthia unirufa,Cinnycerthia unirufa
Cercomacroides parkeri,Cercomacroides parkeri
Sclerurus mexicanus,Sclerurus mexicanus
Heliangelus exortis,Heliangelus exortis
Ramphomicron microrhynchum,Ramphomicron microrhynchum
Ochthoeca cinnamomeiventris,Ochthoeca cinnamomeiventris
Synallaxis brachyura,Synallaxis brachyura
Myiotriccus ornatus,Myiotriccus ornatus
Dendrocincla fuliginosa,Dendrocincla fuliginosa
Phaethornis syrmatophorus,Phaethornis syrmatophorus
Psarocolius wagleri,Psarocolius wagleri
Basileuterus tristriatus,Basileuterus tristriatus
